# t = 8.6400e+04 ; rmin = 8.6400e+12
#  r            rho             v               T_gas           T_rad           n_elec          L_dep_nuc       L_emit_nuc     
2.09088000e+13  9.97934600e-19  2.42000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.10816000e+13  9.97934600e-19  2.44000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.12544000e+13  9.97934600e-19  2.46000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.14272000e+13  9.97934600e-19  2.48000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.16000000e+13  9.97934600e-19  2.50000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.17728000e+13  9.97934600e-19  2.52000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.19456000e+13  9.97934600e-19  2.54000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.21184000e+13  9.97934600e-19  2.56000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.22912000e+13  9.97934600e-19  2.58000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.24640000e+13  9.97934600e-19  2.60000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.26368000e+13  9.97934600e-19  2.62000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.28096000e+13  9.97934600e-19  2.64000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.29824000e+13  9.97934600e-19  2.66000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.31552000e+13  9.97934600e-19  2.68000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.33280000e+13  9.97934600e-19  2.70000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.35008000e+13  9.97934600e-19  2.72000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.36736000e+13  9.97934600e-19  2.74000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.38464000e+13  9.97934600e-19  2.76000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.40192000e+13  9.97934600e-19  2.78000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.41920000e+13  9.97934600e-19  2.80000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.43648000e+13  9.97934600e-19  2.82000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.45376000e+13  9.97934600e-19  2.84000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.47104000e+13  9.97934600e-19  2.86000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.48832000e+13  9.97934600e-19  2.88000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.50560000e+13  9.97934600e-19  2.90000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.52288000e+13  9.97934600e-19  2.92000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.54016000e+13  9.97934600e-19  2.94000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.55744000e+13  9.97934600e-19  2.96000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.57472000e+13  9.97934600e-19  2.98000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
2.59200000e+13  9.97934600e-19  3.00000000e+08  3.00000000e+03  3.00000000e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
